"Frequency
Percent",,,,,,
"Table of BP1 by AGE",,,,,,
"BP1(BODY_PART_CODE_1)","AGE(AGE_AT_INJURY)",,,,,
,"0-4 Y","5-9 Y","10-14 Y","15-19 Y","20+ Y","Total"
"UNKNOWN","1284
1.07","488
0.41","512
0.43","301
0.25","194
0.16","2779
2.32"
"EYE/GLOBE INJURY","434
0.36","407
0.34","314
0.26","142
0.12","467
0.39","1764
1.47"
"BRAIN INJURY","6968
5.83","2426
2.03","3002
2.51","1420
1.19","688
0.58","14504
12.13"
"SKULL","2049
1.71","966
0.81","400
0.33","188
0.16","378
0.32","3981
3.33"
"FACE/MOUTH","9336
7.81","4029
3.37","1768
1.48","1015
0.85","1470
1.23","17618
14.73"
"NECK","187
0.16","350
0.29","662
0.55","364
0.30","370
0.31","1933
1.62"
"INJURY TO INTERNAL STRUCTURES OF THE NECK","183
0.15","88
0.07","57
0.05","32
0.03","64
0.05","424
0.35"
"SPINE AND/OR SPINAL CORD","32
0.03","103
0.09","224
0.19","170
0.14","543
0.45","1072
0.90"
"THORAX","254
0.21","158
0.13","308
0.26","221
0.18","789
0.66","1730
1.45"
"BACK","73
0.06","238
0.20","426
0.36","256
0.21","586
0.49","1579
1.32"
"ABDOMEN","639
0.53","351
0.29","262
0.22","130
0.11","85
0.07","1467
1.23"
"PELVIS/PERINEUM/EXT GENETILIA","153
0.13","202
0.17","123
0.10","50
0.04","136
0.11","664
0.56"
"GROIN","27
0.02","52
0.04","44
0.04","19
0.02","15
0.01","157
0.13"
"BACK, NFS","19
0.02","66
0.06","105
0.09","57
0.05","115
0.10","362
0.30"
"SHOULDER/SCAPULA","103
0.09","191
0.16","739
0.62","590
0.49","746
0.62","2369
1.98"
"CLAVICLE","521
0.44","364
0.30","562
0.47","304
0.25","119
0.10","1870
1.56"
"UPPER ARM","260
0.22","316
0.26","354
0.30","98
0.08","217
0.18","1245
1.04"
"ELBOW","3950
3.30","1566
1.31","1222
1.02","422
0.35","361
0.30","7521
6.29"
"FOREARM","1071
0.90","1829
1.53","2374
1.99","595
0.50","590
0.49","6459
5.40"
"WRIST","399
0.33","1181
0.99","2728
2.28","877
0.73","816
0.68","6001
5.02"
"HAND","618
0.52","466
0.39","1268
1.06","992
0.83","1193
1.00","4537
3.79"
"FINGERS","1425
1.19","1615
1.35","3063
2.56","1268
1.06","2110
1.76","9481
7.93"
"HIP","85
0.07","99
0.08","266
0.22","122
0.10","547
0.46","1119
0.94"
"THIGH","302
0.25","261
0.22","354
0.30","149
0.12","262
0.22","1328
1.11"
"KNEE","263
0.22","663
0.55","1836
1.54","1044
0.87","968
0.81","4774
3.99"
"SHIN","1105
0.92","569
0.48","1011
0.85","383
0.32","626
0.52","3694
3.09"
"ANKLE","364
0.30","1037
0.87","2737
2.29","1715
1.43","1388
1.16","7241
6.05"
"FOOT","960
0.80","1164
0.97","1718
1.44","742
0.62","915
0.77","5499
4.60"
"TOE","296
0.25","352
0.29","636
0.53","238
0.20","320
0.27","1842
1.54"
"MULTIPLE BODY PART","43
0.04","21
0.02","47
0.04","39
0.03","143
0.12","293
0.24"
"SYSTEMIC INJURY","2262
1.89","377
0.32","459
0.38","551
0.46","638
0.53","4287
3.58"
"Total","35665
29.82","21995
18.39","29581
24.73","14494
12.12","17859
14.93","119594
100.00"
